video_id,manual_cover_text,caption,topic_tag,first_level_category_id,first_level_category_name,second_level_category_id,second_level_category_name,third_level_category_id,third_level_category_name
0,UNKNOWN,精神小伙路难走 程哥你狗粮慢点撒,[],8,颜值,673,颜值随拍,-124,UNKNOWN
1,UNKNOWN,,[],27,高新数码,-124,UNKNOWN,-124,UNKNOWN
2,UNKNOWN,晚饭后，运动一下！,[],9,喜剧,727,搞笑互动,-124,UNKNOWN
3,UNKNOWN,我平淡无奇，惊艳不了时光，温柔不了岁月，我只想漫无目的的走走，努力发笔小财，给自己买花 自己长大.,[],26,摄影,686,主题摄影,2434,景物摄影
4,五爱街最美美女 一天1q,#搞笑 #感谢快手我要上热门 #五爱市场 这真是完美搭配啊！,"[五爱市场,感谢快手我要上热门,搞笑]",5,时尚,737,营销售卖,2596,女装
5,UNKNOWN,“你们吵的越狠 他们的手就握的越紧”    #文轩   #刘耀文   #宋亚轩   #顾子璇是樱桃吖   #顾子璇超级喜欢文轩,"[刘耀文,宋亚轩,文轩,顾子璇是樱桃吖,顾子璇超级喜欢文轩]",6,明星娱乐,667,娱乐八卦,2375,饭制
6,UNKNOWN,记住我的名字还有我带给你的故事.,[],19,情感,-124,UNKNOWN,-124,UNKNOWN
7,最高级动物.,#灵魂属性大揭秘 我变的动物最高级，不接受反驳...,[灵魂属性大揭秘],8,颜值,-124,UNKNOWN,-124,UNKNOWN
8,76岁老汉吃白皮拉面,#感谢快手官大大送上热门 #感谢推广小助手 #感谢推广小助手助我上热门 #看得起农村人的点个双击吧 ,"[感谢快手官大大送上热门,感谢推广小助手,感谢推广小助手助我上热门,看得起农村人的点个双击吧]",12,美食,292,美食日常,1461,美食分享
9,UNKNOWN,,[],33,自拍,-124,UNKNOWN,-124,UNKNOWN
10,高品质裤子并不贵,辰辰是生产高品质裤子的厂家 好的裤子成本并不高 关注我吧 每晚七点 直播间看款式 听价格一件也是出厂价🔥#感谢快手我要上热门 #作品推广 #商家号战疫行动 ,"[作品推广,商家号战疫行动,感谢快手我要上热门]",5,时尚,737,营销售卖,2596,女装
11,地里约起来,我凡事都能看的开，但并不影响我记仇。 我可以吃十分的苦，但受不了半分的委屈,[],11,生活,-124,UNKNOWN,-124,UNKNOWN
12,UNKNOWN,更新了   喜欢的关注更精彩❤️❤️  爱你们#情感视频# #求官方别屏蔽# #官方大大求热门# #求热门# #官方 #,"[官方,官方大大求热门,情感视频,求官方别屏蔽,求热门]",2,音乐,724,音乐点评分享,2550,音乐剪辑和MV
13,UNKNOWN,看哭！53岁也是爸爸的小宝贝,[],19,情感,744,情感关系,2637,家庭关系
14,UNKNOWN,#长高 合集来啦！坚持练习，锻炼身体，提高协调性，促进长高 #育儿正能量分享 #感谢快手官大大送上热门 #感谢快手我要上热门 #提高免疫力 ,"[感谢快手官大大送上热门,感谢快手我要上热门,提高免疫力,育儿正能量分享,长高]",34,其他,418,生活泛拍,-124,UNKNOWN
15,压弯机车女孩🔥,#机车女孩 #感谢快手我要上热门 ,"[感谢快手我要上热门,机车女孩]",18,汽车,561,汽车日常,-124,UNKNOWN
16,UNKNOWN,“可以往回看 但别往回走…”,[],26,摄影,686,主题摄影,2434,景物摄影
